intent,questionTitle,-,questionText,-
## intent:,How_would_I_know_if_I_was_depressed,-,I'm constantly in a bad mood and I have no energy. Is that depression?,
## intent:,My_family_says_I_have_depression,-,"I'm in my late teens and live with my dad. The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks.    Sometimes I feel i'm not worth knowing or i'm never going to do anything right. Are they right, am I depressed?",
## intent:,I_think_my_friend_might_have_depression,-,"She has trouble falling and staying asleep and she's always either extremely hungry or not hungry at all. She also gets angry and feels like crying really easily for no reason. She says she is always ""kind of down.""
   Is this depression? What can I do to help her?",
## intent:,Is_my_moodiness_just_a_phase_or_do_I_need_help,-,"I'm a teenager and I I go through periods of moodiness. I have extreme feelings (but I bury them), and then I feel nothing - just empty and emotionless.
   I have trust issues, low self esteem,ban extreme fear of abandonment, and I constantly reevaluate my relationships. I also don't know who I am as a person. I'm not happy overall, but I'm not suicidal. Can I just feel happy?",
## intent:,How_do_I_know_if_I_have_depression,-,"I had a very troubled up bringing and I'm currently dealing with alot right now. I know some people may not think so, but to me its a lot. I feel overwhelmed. Could this be depression?
   I use to be in therapy as a child. Alll throughout elementry, middle, and high school I had counseling 2-3 times a week. I haven't be in counseling lately though.",
## intent:,How_do_I_help_my_20_year_old_boyfriend_who_says_he_hates_his_life,-,"I think adult life is making him depressed and we often sleep in on weekends untill 1 or 2 pm. We just eat, smoke weed, watch movies, and he'll go on his phone all day. He doesn't seem motivated to do much and he's often angry.
    I have no clue how to help him take his mind off the negative, or to distract him into a different light. How do I help him?",
## intent:,I_feel_like_my_mother_doesn't_support_me,-,My mother is combative with me when I say I don't want to talk with her about my depression.    She hasn't been supportive of me in the past and she isn't someone that I feel comfortable opening up to. She constantly tries to instigate conversations where she asks me questions that I don't want to or can't answer. I tell her I don't want to talk and she starts arguments with me.    How can I get her to understand?,
## intent:,Why_do_I_feel_sad_all_the_time,-,I just feel sad all the time and I don't like anyone in my family. I feel like they're trying to control me and won't let me grow.,
## intent:,is_it_normal_not_to_feel_empathy,-,"I can't seem to feel any emotion except anxiety, not even for myself.",
## intent:,How_can_I_deal_with_my_depression,-,I know I need to deal with my depression. But I don't know how and I don't want to tell anyone.    How can I deal with depression without telling anyone?,
## intent:,Can_i_learn_to_be_happy_alone,-,I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one.    How can I overcome this pain and learn to be happy alone?,
## intent:,How_do_I_make_myself_happy_without_someone_who_made_me_happy,-,"How do I make myself happy without the people who made me happy? Now that they’re gone, I feel sad. It’s been two months now but I seem to be unable to stay okay and independent.",
## intent:,Is_this_depression,-,"I feel like I am internally screaming all the time. Externally, I am calm, but I have this intense, unidentifiable emotion constantly. I don't feel sad. I don't cry a lot. I feel rather emotionally distant other than the internal screaming. It kind of feels like I'm a caged animal.",
## intent:,How_can_I_get_people_to_listen,-,"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
 I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.",
## intent:,How_do_I_stop_feeling_empty,-,"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way?",
## intent:,How_do_I_deal_with_parental_figures_who_have_hurt_me,-,"People who are parental figures in my life have, in the past, hurt me, and some continue to do so. It makes me feel like I'm not good enough for my husband or the life he provides me. I have had jobs, but I am going through a lot of my past garbage and trying to figure out when it all went wrong. Any time I bring these things up, I am expected to be over the issue. These are people that you can't just cut out, but I have never received apologies for so much of my pain. I don't know what to do any more. I don't know who I am anymore.",
## intent:,My_parents_are_getting_a_divorce_and_I_feel_depressed,-,I am going through a very hard time and I'm so depressed. My parents are getting a divorce and a lot of bad things are happening. I want to lull myself.,
## intent:,I_need_help_coping_with_depression_as_a_result_of_stress,-,"My depression has been reoccurring for a long time. It all started when I was being bullied in high school. In ninth grade, my principal told me I needed to stay home for a couple days to protect myself while she spoke to my classmates. I needed professional help for my stress because I was having crying spells from the stress of going to school and confronting my classmates. After that, I was fine for a couple of years. I entered my first year of college in a really tough program with high demands of expected work. I believe my depression re-booted from there with the stress. I began to cut myself because a friend of mine at the time told me how she used to do the same and it used to feel good for her. Obviously, that wasn't the right choice. I regret ever doing that, seeing as even though I'm not self-harming anymore, I always look back at that time whenever I feel very stressed. I have a big problem with handling problems in life. Whenever a problem arises, I get stressed and I feel hopeless, as if it's not going to get better. I get way too stressed from my problems, which leads to overreacting a lot (especially when talking to others), which then leads to depression. I have a hard time coping with stress because I know that if I could handle it easily then I wouldn't be sad all the time, and I would say and do the right thing instead of overreacting to my loved ones.",
## intent:,I_feel_like_my_existence_is_meaningless,-,"I've been depressed for quite a while. I've been trying to work through it, and my boyfriend has been my rock. He is honestly the only person I trust enough to talk to about anything, but he decided to break up with me because of my depression. I cannot afford to see a therapist or anything, so he saw no hope in staying with me. My insurance has a $5000 deductible, so I’m screwed. I've had everything from suicidal thoughts to trying to quit my job. I have no one. My family doesn't care about me; they kicked me out when I turned 18 a few years ago. I had friends, but they have all moved on with their lives and have no time for me. My ex-boyfriend is trying to help but is making things worse because every time I see or hear him, I break down into tears. I found out that I will never be promoted now because of my depression.",
## intent:,How_can_I_help_my_husband_after_a_suicide_attempt,-,"After he got home from the hospital he was angry, then for a time wonderful. Now he is depressed and hopeless again.",
## intent:,Why_do_I_feel_worthless_and_tired,-,I always feel like I'm doing something wrong. Everything I do is crappy. I want to cry all the time. I can't eat or sleep.,
## intent:,How_can_you_get_back_to_my_old_self,-,"I no longer carry expressions on my face, and my emotions are decreasing the more I have fights with my fiancée.",
## intent:,How_do_I_tell_my_parents_that_I'm_depressed_and_need_help,-,"I'm depressed. I have been for years. I hide it from everyone because I'm scared of the reactions I'll get. Last time I tried telling my parents, it was a huge argument about me being too young to be depressed (I’m a legal adult), calling me ungrateful, and telling me that if I can't handle things now, it's only going to get worse in the future (which is turning out to be true). It's exhausting pretending to be okay, and I don't know how much longer I can try. I'm just really tired, and sadly, I can't afford the help I need on my own.",
## intent:,What_can_I_do_about_my_depression_and_anxiety_after_trying_so_many_things,-,"I have terrible anxiety and depression. I've tried various therapists and pills, but nothing's helped.",
## intent:,Why_do_I_feel_like_I_will_never_have_a_good_career/amount_to_anything_financially,-,"I'm in my early 20s. I've worked since two months after I turned 18. I have “plans.” I could become an electrician, or I could operate heavy machinery. I have goals, but I do nothing to try to meet them because I don't feel I can. I just want a better life for my fiancée and the kids than I did.",
## intent:,My_husband_wants_a_divorce_after_I_was_diagnosed_with_severe_depression,-,"He said he would try and he never did. It's been nine months, and this is making me worse. Today, he said I have to respect whatever decision he makes. Is that true? Am I supposed to respect the decision to leave because he can't handle what I'm going through and leaves me here crying and worried every night? He's constantly changing his mind on if he wants to work it out.",
## intent:,"I'm_a_mess_physically,_mentally,_emotionally,_and_spiritually",-,"I'm in my late 50s. I never loved or have been loved. I need deeper help than is offered in my small town, but I cannot leave this town because of agoraphobia. I find myself losing hope more and more. My brain barely works anymore, and my memory so small, I forget in a moment. I serve no purpose. I'm incapable of work or anything of value, and I never have been. I’m a complete waste of time and resources, and yet I keep trying. Why? Why does God insist that I continue to exist? I’m not suicidal, just tired.",
## intent:,My_husband_makes_me_uncomfortable_about_sex,-,"Both of my parents committed suicide together, and I was the one who found them. I suffer from overwhelming depression, which is having an extreme effect on me and my husband’s sex lives. He does not understand at all and is always making me feel so uncomfortable about sex.",
## intent:,"If_I_am_trying_to_stop_self-harming_and_I_seek_help,_will_I_need_to_be_put_in_an_inpatient_setting",-,"I have bipolar disorder, paranoid personality disorder, posttraumatic stress disorder, anxiety and obsessive-compulsive disorder. I last self-harmed a week ago. When I am stressed, overwhelmed, hurt, or angry, the urge to self-harm is all I can think of. I am trying to seek help.",
## intent:,Do_I_have_anxiety,-,"I stress over everything. If I don't have enough ""quality time"" with my boyfriend, I start to feel resentment towards him. He has three children, and they are great kids, but I find we don't have much time together. I break down easily and find myself depressed.",
## intent:,How_can_I_take_care_of_my_depression_from_a_breakup,-,"I have been falling into a deep depression where I can no function during the day and night. The only time I am at peace is when I’m asleep. If I am with friends, family, at work, and mainly alone, I cannot think straight. I no longer feel like myself.",
## intent:,How_do_I_tell_my_parents_that_I_think_I_have_some_mental_problems,-,I am pretty sure I have depression and anxiety. I also have voices in my head. I have problems sleeping too. I've already been diagnosed with attention-deficit disorder and obsessive-compulsive disorder. I have self-harmed in the last and used to be suicidal. How do I tell them this and ask for therapy?,
## intent:,How_can_I_stop_thinking_so_negatively_about_myself,-,"I'm depressed and recently went through a break up. It’s like every guy I like only wants me for sex. I think I'm ugly, and sometimes I just want to die. I have a son, and I got really big when I was pregnant. I have stretch marks on my stomach.",
## intent:,How_do_I_stop_feeling_so_awful,-,"I'm not the same anymore, I don't know how to get back to who I am. I'm sad and confused and angry and tired. I don't sleep well.",
## intent:,How_can_I_be_happy_as_a_stay-at-home_mom,-,"Over the years, I have slowly lost everything: my jobs, my cars, my freedom, and my money. I am a stay-at-home mom who doesn't make any money, doesn't have a car, never goes out, and cleans all day long everyday.",
## intent:,How_do_I_balance_school_and_life,-,"I don't have time to live or take care of myself at times. It's causing depression, stress, and anxiety. I don't know what to do.",
## intent:,How_do_I_move_past_my_depression_from_being_separated_from_the_military,-,"Two years ago, I was separated from the military into my contract for medical issues. It has emotionally destroyed me. I now basically hate myself. It's embarrassing to be separated from the one place who takes anyone. My family has been in the armed forces, and it has always been my dream. I can't do this alone anymore, and now my family is even worried.",
## intent:,How_do_I_overcome_my_depression,-,"I feel depressed even though I act like a happy with my family. I act like I’m happy so my son doesn’t see me sad. I act like my life is a happy life, but I feel sad and depressed. I sometimes think of killing myself and that my family deserve someone better than me. I just cry and write in my book all these feelings.",
## intent:,What_should_I_do_when_my_parents_won't_let_me_see_a_therapist,-,"I think i may suffer from depression, and it is affecting my life and sleep. I am on my parent's insurance, and they won't let me see a therapist because they don't believe in it.",
## intent:,How_can_I_resist_the_urge_to_cut,-,"When I'm sad and alone, I want to cut myself.",
## intent:,Why_am_I_so_sad,-,"I have friends, family, I live in a good home, I go to a nice high school, and I get pretty good grades, but I don’t know why I'm so unhappy. These friends are my best friends and they’re all amazing people, and yet I'm sad all the time and feel alone.",
## intent:,Why_can't_I_laugh_anymore,-,"I used to be the funny guy of the group—the class clown, if you will. I used to laugh uncontrollably all the time and be able to be social without it feeling awkward. Now I can't laugh at all, and I'm dead inside.",
## intent:,Is_it_possible_that_I_have_depression,-,"I'm starting to think that I might have depression. The thing is though, I'm not exactly sad. I can joke with my friends and stuff, but I've stopped caring about my work, and I've been starting to think that life is pointless. I really have no clue if I need help, or if I'm just tired or something.",
## intent:,How_can_I_cope_with_depression,-,"In the last ten months, I've been kicked out, moved around three times, worked many jobs, stopped school to make money, had dad and mom get sick, was cheated on while pregnant, lost my baby, had relationship issues, and was betrayed. I can't get a job. I have no friends. I feel lonely and isolated. I've been dealing with all this by myself.",
## intent:,How_do_I_get_rid_of_depression,-,"I've been feeling worthless, unaccomplished, and so frustrated. I want to break things, hit myself, run away, kick, scream, and cry. I just want to be happy and outgoing again. I want to be able to take care of my daughter and live comfortably.",
## intent:,Is_my_depression_sabotaging_my_job_search,-,"I keep feeling paralyzed and unsure during interviews. Previous jobs have fired me for lack of performance, and five employers have rejected me after extensive personality tests and interviews. I'm afraid of continuing because my depression is getting worse. I'm already humiliated working for temp agencies and doubt my self-worth as a provider for my family.",
## intent:,How_can_I_get_back_to_being_the_person_I_truly_am,-,"I feel like I am not at a good state of mind. I'm very unsettled in my soul. I'm not happy with myself or the decisions I make, which makes me not happy with anyone else. I feel like a failure most of my days. I don't feel like I'm good at anything anymore. I feel like less of a person.",
## intent:,How_can_I_bring_up_my_possible_depression_to_my_parents,-,"I am not sure if I am depressed. I don't know how to bring it up to my parents, and that makes me miserable.",
## intent:,I_feel_like_my_life_is_pointless,-,"I have absolutely nothing to do with my life but lay in bed on my phone or hangout with my one friend. I don't have a job, my family doesn't include me in anything, and I don't have many friends. I have nothing to do besides go on my phone. I miss talking to people in person instead of online. I don't even talk to my family in person even from the other room.",
## intent:,How_can_I_manage_my_anxiety_and_depression_so_I_can_feel_normal_again,-,My motivation has gone away. It's hard to get out of bed. I really don't know what to do anymore. I'm miserable. My anxiety and depression have taken over my life.,
## intent:,Might_I_have_depression,-,"I sleep a lot. Music changes my mood. I cry every Wednesday. My mind is like a maze that even I get lost in. I don't usually feel my true emotions, but instead, I get fake mirrored ones.",
## intent:,How_can_I_manage_my_anxiety,-,I have twin toddlers. I experienced a death of loved one prior to giving birth. I had a horrible break up with the father. People told him he was using me for money. My ex-boyfriend had extreme meltdowns every day for three years. I’m always alone with no friends.,
## intent:,Why_do_I_feel_so_lonely_when_I_have_friends_and_attention,-,"I live a normal life. I have tons of friends and family, but I feel lonely.",
## intent:,How_can_I_control_my_anxiety,-,"I started having anxiety three months ago. I'm new to having anxiety, and it's making me depressed.",
## intent:,I_am_20_and_miserable,-,"I have no friends, no hobbies, and no interest in anything. I get annoyed with everything and everyone. I am always tired, i can sleep 8 hrs or 12 hrs and im still tired. I don't know what to do. Is this normal?",
## intent:,Why_have_I_been_feeling_empty_lately,-,"I have a lot on my mind, but all I want to do is stay locked in my room and not socialize with anyone. Why do I feel so alone?",
## intent:,How_can_I_deal_with_my_posttraumatic_stress_disorder,-,"I feel angry, anxious, and depressed. The PTSD I suffer is from a past relationship.",
## intent:,How_can_I_get_over_my_posttraumatic_stress_disorder_without_my_parents_knowing_about_it,-,"I've had posttraumatic stress disorder for years without my parents ever finding out. I want to overcome it, but it’s so vivid, it’s like it’s happening again. I'm scared and paranoid. I have depression, which I have been struggling with since a young age.",
## intent:,How_can_I_get_over_my_depression_and_grief,-,"My dad passed away when I was a teenager. I never got any help, and five years later, I feel like I can't handle it anymore.",
## intent:,How_do_I_get_to_know_myself,-,"I am a single mother. As a child, I was molested by my mother's boyfriend. I never knew my father. I started having children at 18 right after high school. After having children, I completely lost myself and gave all of my focus on my children. Now my children are getting older, but I still don't know myself. I've had several attempts at relationships, and they all fail. I stopped caring about a lot after my children's father left me. I fell into a spiral and got depressed.",
## intent:,"How_do_I_get_back_to_my_fun,_happy_self_again",-,"I always see the worst end of things. My boyfriend and I aren't talking, and I swear he's leaving me. I keep failing my road test, and I see my future crumble. I have no desire for friends. I pushed my best friend away after Christmas, and I have no desire to fix it or make new friends. My aunt died, and I cry all the time, even if I burn my lunch.",
## intent:,How_can_I_love_myself,-,"I was anxious to go to middle school. I was afraid of what people might say about me, so when school started, I wasn't acting like myself. I was quiet, which I'm usually not. I didn't talk to anybody and didn't have any friends. Then a few years later, my grandma died. I really became depressed and stop going to school for a little. I hated myself and still do. I just need help. I need someone to care for me. I need someone to show that they care.",
## intent:,I_feel_guilty_because_I_didn't_say_no_to_a_guy's_advances,-,"I was in a situation with a guy. He’s my brother’s friend and kind of like a brother to me. He invited me over to hang out, and then came on to me. I was instantly terrified to say no, and I gave in. I don't know what's wrong with me. I can't figure out why I'm afraid to say no. This is giving me a lot of guilt and depression.",
## intent:,How_do_I_cope_with_bad_thoughts,-,"People have been calling me names, and I have had enough of it. I cannot stand it anymore I'm done. I have told someone this, and that is why I am writing this. The thoughts are awful.",
## intent:,How_can_I_feel_so_empty_even_though_I'm_only_in_my_early_teens,-,"My life is completely normal, yet I feel empty inside. I feel as if I already know why I'm alive: to reproduce and die.",
## intent:,How_do_I_know_if_I_have_depression,-,"I'm almost never happy. Half of the time, I don't feel anything. I find it easy to make myself feel nothing. I know I push people away because it’s easier. I just want answers. I'm sick of feeling this way. It’s ruining my relationships with people.",
## intent:,I_think_I_have_anxiety_and_depression._It_has_manifested_an_extreme_distrust_for_others,-,"My husband and I are in a terrible place. Part of me wants to fix it, but then I'm caught up with not knowing how and not being able to communicate my feelings to him because he always feels I'm blaming him. Sometimes I am because the feelings of distrust are so strong. I feel they must be coming from something he's doing, but sometimes I know I'm being irrational. Still, that doesn't stop the anxiety. The other half of the time, I just want to walk away, but I feel like that will only be a temporary fix.",
## intent:,I_have_voices_in_my_head,-,"They don't go away, and I feel like I'm going crazy. Does that ever stop? Can it be a symptom of medication?",
## intent:,I'm_depressed_and_unable_to_connect_with_people_after_my_breakup,-,"A girl and I were madly in love. We dated for over a year and were even talking about marriage and future plans together. She moved away for school, and we attempted a long distance relationship. We eventually broke up. It's been a year now, and I still haven't lost my feelings for her. I still love her the same way I did. I've suffered from depression ever since the breakup and have been unable to connect with anyone else. It's damaging me and my life.",
## intent:,I_get_so_angry_that_I_want_to_explode,-,"I've got so much anger. I don't know how to control myself. My girlfriend screams at me all the time, and sometime I don't know how to deal with life. I'm very depressed and angry. I feel lost.",
## intent:,"I_need_help_with_my_severe_claustrophobia,_motorphobia,_and_anxiety",-,"I've been having this ongoing problem for most of my life now. I am a young adult, and right now, driving and even being a passenger gives me terrible panic attacks and anxiety. I can't ride in the backseat or the front seat with the safety belt on. I have to lean the seat back a bit because the pressure on my back terrifies me. I miss so many opportunities to go places with friends and family because of my fears of having a panic attack. My family offers little to no support. They think it's fake or ""all in my head."" It makes me feel guilty and at times depressed to the point where I'd rather never wake up anymore. I am not self-harming, I just feel meaningless. This constant fear has taken over my thoughts and my life. I was such a happy person. I want my life back. I want to travel with my friends and family again, but I don't know how. I've almost given up hope on getting better and just accepting the fact that I'll live with this anxiety forever.",
## intent:,What_can_I_do_if_I_need_to_talk_to_someone_but_I_have_no_money,-,"I am broke, but I am sure I have been depressed for the past couple of years. I have always had anxiety. I just need someone to talk to right now. I don't have any friends or family I can talk to. I'm on the verge of just giving up.",
## intent:,How_do_I_learn_to_feel_emotion,-,"I don't know how to have emotions. I never had any from my birth. Being human, I think of myself as a monster. I enjoy pain. I cut myself for my climax during sex. I think most of the time, I lie, even when sometimes it would have been easy just to tell the truth. I was in rehabilitation for four year. I have made love with both men and women, but it made no impact in my emotions. The books that I enjoy reading H.P. Lovecraft and Edgar Allen Poe. I go hunting every Saturday. I feel powerful. I don't enjoy the killing of the creature, but the hunt of it and to eat and drink the flesh and blood of the creature.",
## intent:,How_can_I_help_my_daughter_with_her_severe_depression_and_her_obsessive_form_of_thinking,-,I am on my own with my daughter. I am so worried and stressed about her.,
## intent:,I'm_depressed_because_my_mother_kicked_me_out_after_having_a_child,-,"I just had a newborn. When I brought him home, my mom told me to leave. Now I'm in a women's home. I don't see my boyfriend that often because he works. The women's place is helping me find an apartment so I can go back to work and get child care.",
## intent:,Should_I_go_back_on_my_medicine,-,"I have experienced cycles of depression for the past four years, and it hits me harder every time it comes back. This past time, it was extremely debilitating, so I went on Wellbutrin. I could feel the effects of the medicine after the first week. A month and a half later, I decided that my depression was being caused by my own unwillingness to move forward and address my behaviors and thoughts that were keeping me in a place of despair. I became worried that the medicine was making me complacent and prohibiting me from working out what I needed to in my life to bring back true fulfillment. I stopped taking it a month ago and feel okay; a lot of the anxiety it was paired with has gone away. However, I still don't feel my sense of self has been completely regained, and I have days where I feel a zombie-like haze of having no interests or the ability to fully concentrate on anything. Is it better to continue letting time and good habits work out the remaining depression or should I go back on the medicine?",
## intent:,How_can_I_be_happy_again,-,"At school, it feels like I've lost all my friends, and I've been really weird with my sleeping patterns. I used to cut myself, and I really want to again, but I change in the locker rooms because I don’t want anybody to see. I get ticked off easy and overreact. At night, I’m very depressed and listen to sad music and all that sort of stuff. Please help me. I just want to be happy again, and I feel like I’m starting to fake a smile at school.",
## intent:,I_always_feel_depressed,-,I think about death all the time because I feel so alone. I want someone to love and someone to love me.,
